person_name,image_num,mask_status
EricGarcetti, 4, mask
EricGarcetti, 5, no-mask
FloydMayweather, 1, no-mask
FloydMayweather, 2, mask
FloydMayweather, 3, no-mask
GaryHerbert, 1, mask
GaryHerbert, 2, mask
GaryHerbert, 3, mask
GaryHerbert, 4, mask
GaryHerbert, 5, mask
GaryHerbert, 6, mask
GaryHerbert, 7, no-mask
GaryHerbert, 8, no-mask
GaryHerbert, 9, mask
GavinNewsom, 1, mask
GavinNewsom, 2, mask
GavinNewsom, 3, mask
GavinNewsom, 4, mask
GavinNewsom, 5, no-mask
GavinNewsom, 6, no-mask
GretchenWhitmer, 1, no-mask
GretchenWhitmer, 2, mask
GretchenWhitmer, 3, mask
GretchenWhitmer, 4, mask
GretchenWhitmer, 5, no-mask
IgorMatovic, 1, mask
IgorMatovic, 2, mask
IgorMatovic, 3, mask
IgorMatovic, 4, no-mask
IgorMatovic, 5, no-mask
ImranKhan, 1, no-mask
ImranKhan, 2, mask
ImranKhan, 3, mask
ImranKhan, 4, mask
ImranKhan, 5, no-mask
ImranKhan, 6, mask
JaredPolis, 1, mask
JaredPolis, 2, mask
JaredPolis, 3, mask
JaredPolis, 4, mask
JaredPolis, 5, mask
JaredPolis, 6, mask
JaredPolis, 7, mask
JaredPolis, 8, mask
JaredPolis, 9, no-mask
JaredPolis, 10, no-mask
JoeBiden, 1, mask
JoeBiden, 2, no-mask
JoeBiden, 3, mask
JoeBiden, 4, mask
JoeBiden, 5, no-mask
JonathanBennet, 1, mask
JonathanBennet, 2, no-mask
JonathanBennet, 3, no-mask
JustinTrudeau, 1, mask
JustinTrudeau, 2, mask
JustinTrudeau, 3, no-mask
JustinTrudeau, 4, mask
JustinTrudeau, 5, mask
JustinTrudeau, 6, no-mask
KimKardashian, 1, mask
KimKardashian, 2, no-mask
KyriakosMitsotakis, 1, mask
KyriakosMitsotakis, 2, mask
KyriakosMitsotakis, 3, no-mask
KyriakosMitsotakis, 4, mask
KyriakosMitsotakis, 5, no-mask
LadyGaga, 1, mask
LadyGaga, 2, mask
LadyGaga, 3, mask
LadyGaga, 4, no-mask
LadyGaga, 5, no-mask
LarryHogan, 1, mask
LarryHogan, 2, mask
LarryHogan, 3, mask
LarryHogan, 4, mask
LarryHogan, 5, no-mask
LarryHogan, 6, mask
LarryHogan, 7, no-mask
MatthewMorrison, 1, mask
MatthewMorrison, 2, no-mask
MatthewMorrison, 3, no-mask
MatthewMorrison, 4, mask
MikeDewine, 1, mask
MikeDewine, 2, mask
MikeDewine, 3, no-mask
MikeDewine, 4, mask
MikeDewine, 5, no-mask
MitchMcConnell, 1, mask
MitchMcConnell, 2, no-mask
MitchMcConnell, 3, mask
MitchMcConnell, 4, mask
MitchMcConnell, 5, mask
MitchMcConnell, 6, no-mask
MuhammadFahmi, 1, no-mask
MuhammadFahmi, 2, mask
MuhammadFahmi, 3, mask
MuhammadFahmi, 4, no-mask
NancyPelosi, 1, mask
NancyPelosi, 2, mask
NancyPelosi, 3, mask
NancyPelosi, 4, no-mask
NancyPelosi, 5, mask
NancyPelosi, 6, mask
NancyPelosi, 7, mask
NancyPelosi, 8, mask
PharrellWilliams, 1, mask
PharrellWilliams, 2, mask
PharrellWilliams, 3, no-mask
PharrellWilliams, 4, no-mask
PhilMurphy, 1, mask
PhilMurphy, 2, mask
PhilMurphy, 3, mask
PhilMurphy, 4, no-mask
PhilMurphy, 5, mask
PhilMurphy, 6, no-mask
PhilMurphy, 7, mask
RalphNortham, 1, mask
RalphNortham, 2, no-mask
RalphNortham, 3, mask
RalphNortham, 4, mask
RalphNortham, 5, no-mask
ReneeMorrison, 1, mask
ReneeMorrison, 2, no-mask
ReneeMorrison, 3, no-mask
RonDesantis, 1, mask
RonDesantis, 2, mask
RonDesantis, 3, no-mask
RonDesantis, 4, mask
RonDesantis, 5, mask
RonDesantis, 6, no-mask
RoyCooper, 1, no-mask
RoyCooper, 2, mask
RoyCooper, 3, mask
RoyCooper, 4, mask
RoyCooper, 5, mask
RoyCooper, 6, no-mask
SimonCowell, 1, mask
SimonCowell, 2, mask
SimonCowell, 3, no-mask
SimonCowell, 4, no-mask
SteveHarvey, 1, mask
SteveHarvey, 2, no-mask
StevenReed, 1, mask
StevenReed, 2, mask
StevenReed, 3, mask
StevenReed, 4, mask
StevenReed, 5, no-mask
StevenReed, 6, no-mask
TakeOff, 1, mask
TakeOff, 2, no-mask
TakeOff, 3, no-mask
TaroKono, 1, mask
TaroKono, 2, no-mask
TomWolf, 1, mask
TomWolf, 2, mask
TomWolf, 3, mask
TomWolf, 4, no-mask
TomWolf, 5, mask
TomWolf, 6, mask
TsaiIngwen, 1, no-mask
TsaiIngwen, 2, mask
TsaiIngwen, 3, mask
TsaiIngwen, 4, mask
TsaiIngwen, 5, mask
TsaiIngwen, 6, no-mask
UddhavThackery, 1, mask
UddhavThackery, 2, no-mask
UddhavThackery, 3, no-mask
VassilisKikilias, 1, no-mask
VassilisKikilias, 2, mask
VassilisKikilias, 3, no-mask
XiJinping, 1, mask
XiJinping, 2, no-mask
XiJinping, 3, mask
XiJinping, 4, mask
XiJinping, 5, no-mask
YoshihideSuga, 1, mask
YoshihideSuga, 2, mask
YoshihideSuga, 3, mask
YoshihideSuga, 4, mask
YoshihideSuga, 5, no-mask
YoshihideSuga, 6, no-mask
YurikoKoike, 1, mask
YurikoKoike, 2, mask
YurikoKoike, 3, mask
YurikoKoike, 4, mask
YurikoKoike, 5, mask
YurikoKoike, 6, no-mask
YurikoKoike, 7, no-mask
ZacEfron, 1, no-mask
ZacEfron, 2, mask
ZacEfron, 3, no-mask
ZuzanaCaputova, 1, mask
ZuzanaCaputova, 2, mask
ZuzanaCaputova, 3, mask
ZuzanaCaputova, 4, mask
ZuzanaCaputova, 5, no-mask
ZuzanaCaputova, 6, mask
ZuzanaCaputova, 7, no-mask
ZuzanaCaputova, 8, mask


